Day,Apr,Jul,Oct,Dec
1,52,67.5,60.5,47
2,45,71.5,63,46.5
3,41.5,71,68,44
4,48.5,68.5,69,43.5
5,44,75.5,67.5,37
6,47.5,79.5,65,30
7,48.5,78.5,62,27.5
8,42.5,72.5,58.5,34.5
9,42,72.5,55,42.5
10,49,69,57,53
11,61.5,76.5,59.5,50.5
12,62,81.5,62,39
13,68.5,80,55.5,38.5
14,66,75,55.5,32
15,52,78.5,55.5,44
16,51.5,76,54,45.5
17,50,82,55,48
18,54,78.5,56,54
19,47.5,79,59,41.5
20,50,74.5,57,37
21,48,69.5,58,30
22,48,71,53,29
23,50,77.5,54.5,33
24,51.5,77.5,53.5,41
25,51.5,77,64.5,43.5
26,49,77.5,69.5,43
27,50.5,81,70,47
28,50.5,82.5,70.5,43.5
29,50,75,54,43
30,51.5,70,49.5,40.5
31,-,72,45,37
