,Number,Name,Latitude,Longitude,District,Public,Total docks,danger_score,danger_score2
0,K32015,1200 Beacon St,42.34414899,-71.11467361,Brookline,Yes,15,60.0,322.0
1,W32006,160 Arsenal St,42.36466403,-71.17569387,Watertown,Yes,11,0.0,13.0
2,A32019,175 N Harvard St,42.36447457,-71.12840831,Boston,Yes,17,66.0,220.0
3,S32035,191 Beacon St,42.38032335,-71.10878613,Somerville,Yes,19,0.0,0.0
4,C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Boston,Yes,17,35.0,123.0
5,S32023,30 Dane St,42.38100143,-71.10402523,Somerville,Yes,15,0.0,0.0
6,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23,0.0,31.0
7,S32049,515 Somerville Ave (Temp. Winter Location),42.38322727,-71.10606909,Somerville,Yes,19,0.0,0.0
8,M32088,55 Wheeler Street,42.390821,-71.143946,Cambridge,Yes,23,0.0,0.0
9,C32106,555 Metropolitan Ave,42.2681,-71.11924,Boston,Yes,18,8.0,43.0
10,C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Boston,Yes,18,8.0,84.0
11,C32091,645 Summer St,42.34178089,-71.03987017,Boston,Yes,19,30.0,120.0
12,M32054,699 Mt Auburn St,42.37500235,-71.14871614,Cambridge,Yes,25,0.0,31.0
13,V32001,7 Acre Park,42.41143223,-71.06823265,Everett,Yes,15,0.0,0.0
14,B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Boston,Yes,16,136.0,411.0
15,M32060,700 Huron Ave,42.38078817,-71.15412891,Cambridge,Yes,19,0.0,0.0
16,M32064,75 Binney St,42.36550729,-71.0801376,Cambridge,Yes,19,3.0,151.0
17,M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,Yes,27,0.0,0.0
18,H32006,855 Broadway,42.39841773,-71.02390923,Chelsea,Yes,11,0.0,4.0
19,M32084,87-101 Cambridgepark Drive,42.39522187,-71.14421904,Cambridge,Yes,23,0.0,0.0
20,M32073,955 Mass Ave,42.36895181,-71.1099878,Cambridge,Yes,19,0.0,41.0
21,C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Boston,Yes,15,162.0,564.0
22,M32046,Alewife MBTA at Steel Place,42.39558846,-71.14260614,Cambridge,Yes,19,0.0,0.0
23,M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,Yes,23,0.0,0.0
24,C32079,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,Boston,Yes,14,9.0,63.0
25,M32059,Ames St at Broadway,42.3636929,-71.0875672,Cambridge,Yes,19,0.0,149.0
26,M32037,Ames St at Main St,42.3625,-71.08822,Cambridge,Yes,19,0.0,209.0
27,B32004,Aquarium T Stop - 200 Atlantic Ave,42.36044136,-71.0504394,Boston,Yes,23,107.0,342.0
28,C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Boston,Yes,15,39.0,102.0
29,W32004,Arsenal Yards,42.36277389,-71.15764854,Watertown,Yes,14,13.0,90.0
30,C32062,Ashmont T Stop,42.2856944,-71.0641389,Boston,Yes,15,32.0,141.0
31,S32018,Assembly Square T,42.39223284,-71.07746601,Somerville,Yes,15,9.0,58.0
32,ZZ32996,Auburn St. at Mystic River,42.4175909,-71.12608128,Medford,Yes,11,0.0,0.0
33,N32015,Auburndale,42.34805541,-71.24775946,Newton,Yes,15,0.0,0.0
34,A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,Yes,11,122.0,339.0
35,C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Boston,Yes,19,165.0,673.0
36,N32003,Bacon St at Washington St,42.35711921,-71.18604537,Newton,Yes,11,0.0,4.0
37,S32007,Ball Sq,42.39936816,-71.11111522,Somerville,Yes,19,0.0,0.0
38,B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,Yes,15,165.0,574.0
39,C32108,Beach St at Freeport St,42.30367409,-71.05425954,Boston,Yes,19,64.0,186.0
40,N32012,Beacon at Walnut,42.33006232,-71.20668411,Newton,Yes,15,0.0,0.0
41,D32024,Beacon St at Charles St,42.356052,-71.069849,Boston,Yes,19,159.0,525.0
42,K32002,Beacon St at Tappan St,42.3382668,-71.13894682,Brookline,Yes,15,8.0,117.0
43,C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Boston,Yes,14,21.0,76.0
44,H32002,Bellingham Square,42.39319611,-71.0334456,Chelsea,Yes,11,0.0,23.0
45,A32028,Bennington St at Byron St,42.38353252,-71.01619095,Boston,Yes,15,20.0,44.0
46,A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Boston,Yes,15,19.0,34.0
47,M32067,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,Cambridge,Yes,19,0.0,5.0
48,M32027,Binney St / Sixth St,42.36608797,-71.08633604,Cambridge,Yes,19,0.0,68.0
49,C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Boston,Yes,19,37.0,96.0
50,C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Boston,Yes,18,49.0,131.0
51,B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,25,205.0,422.0
52,N32009,Boston College T,42.33987892,-71.16708934,Newton,Yes,17,18.0,93.0
53,D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Boston,Yes,23,42.0,241.0
54,A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Boston,Yes,15,28.0,90.0
55,A32045,Boston Landing,42.35656092,-71.14167538,Boston,Yes,17,100.0,276.0
56,B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,Yes,15,102.0,321.0
57,D32007,Boylston St at Arlington St,42.35206005,-71.07046366,Boston,Yes,31,181.0,644.0
58,D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,Yes,15,161.0,669.0
59,D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19,207.0,644.0
60,C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Boston,Yes,19,275.0,640.0
61,B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,15,163.0,618.0
62,B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15,263.0,648.0
63,S32050,Boynton Yards at 101 South Street,42.3754476,-71.09117389,Somerville,Yes,19,0.0,13.0
64,A32032,Bremen St at Marion St,42.37410622,-71.03276253,Boston,Yes,11,33.0,62.0
65,T32016,Bridge Street Neck,42.52810052,-70.88971138,Salem,Yes,11,0.0,0.0
66,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15,132.0,396.0
67,D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,16,54.0,248.0
68,A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15,77.0,254.0
69,M32082,Broad Canal Way at Third Street,42.3630455,-71.08287079,Cambridge,Yes,19,1.0,231.0
70,V32011,Broadway at Beacham St,42.3983606,-71.06373843,Everett,Yes,15,2.0,7.0
71,S32016,Broadway at Central St,42.3951715,-71.09850592,Somerville,Yes,19,0.0,0.0
72,H32004,Broadway at Gerrish Ave,42.39453079,-71.03085594,Chelsea,Yes,11,0.0,16.0
73,Z32998,Broadway at Kittie Knox Bike Path,42.36412659,-71.08738632,Cambridge,Yes,23,0.0,145.0
74,V32004,Broadway at Lynde St,42.39648358,-71.0654676,Everett,Yes,15,3.0,37.0
75,V32008,Broadway at Maple St,42.41034691,-71.05260458,Everett,Yes,13,0.0,0.0
76,S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Somerville,Yes,19,48.0,73.0
77,C32053,Broadway T Stop,42.34304858,-71.0580343,Boston,Yes,19,69.0,395.0
78,K32005,Brookline Town Hall,42.33376473,-71.12046447,Brookline,Yes,15,22.0,134.0
79,K32003,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,Brookline,Yes,19,61.0,179.0
80,A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23,37.0,205.0
